HintCost,Hint,HintNumber,Number
50,Search stream:dns data for A queries coming from the infected workstation IP on the date in question.  Try and narrow your search period.,1,202
100,"Perform a shannon entropy analysis on the query{} field using URL toolbox by adding this to the end of the search: |`ut_shannon(query{})` | stats count by ut_shannon, query{} | sort -ut_shannon ",2,202
50,Search stream:dns data for A queries coming from the infected workstation IP on the date in question. ,1,203
50,"Use the ""| reverse"" SPL command to show oldest events first.",2,203
50,"Eliminate domain lookups that you can explain, question the first one you cannot.",3,203
80,Go and git some IOCs on Cerber.  Then compare to the DNS Data,4,203
150,"Keep it simple.  Start by looking at sysmon data for the infected device on the date in question.  Calculate the length of the command line using the ""len()"" function of the ""eval"" SPL command, and give your eyes a break by using the splunk table command. ",1,204
100,Tough question.  Perhaps you should give http://answers.splunk.com a try.,1,205
25,"Search for SMB (Windows file sharing protocol) traffic from the infected device on the date in question. The ""stats"" SPL command can be used to count the most common destination IP for the SMB protocol.",1,206
10,Don't use SMB this time - it's a trap!  Windows event logs are the way to go for this one.  Focus on the event types that deal with windows shares and narrow the search by looking for distinct filenames for the extension in question. ,1,207
25,"Embrace your sysmon data.  Search for a command issued by the infected device on the date in question referencing the filename in question, and use the process_id, ParentProcessId, CommandLine,  and ParentCommandLine, to track down the parent process id of them all.",1,208
15,Sysmon to the rescue again.  Focus on the infected machine as well as the user profile while searching for the filename extension in question.,1,209
50,"In Sysmon events, EventCode=2 indicates file creation time has changed. Watch out for duplicates!",2,209
75,"When looking for potentially malicious file, start your search with the Suricata data.  Narrow your search by focusing on the infected device. Remember malware does not always have to begin as an executable file.  ",1,210
500,The enrcyptor file was an image!  ,1,211
